Time	I.max_1	I.total_1	I.back_1
20.443	70.98039	42.18562	31.22549
20.481	70.98039	42.19608	31.70168
20.519	70.98039	42.38257	31.58964
20.558	70.98039	42.53072	32.04482
20.597	70.98039	42.36166	31.35854
20.635	70.98039	42.53072	31.82073
20.673	70.98039	42.15948	31.35154
20.712	70.98039	42.19608	31.35854
20.751	70.98039	42.48192	31.92577
20.789	70.98039	42.339	31.71569
20.828	70.98039	42.34423	31.71569
20.866	70.98039	41.90501	31.35854
20.906	70.98039	42.38954	31.57563
20.945	70.98039	42.27625	31.37255
20.983	70.98039	42.15948	31.80672
21.022	70.98039	42.18562	31.10644
21.061	70.98039	42.41917	31.81373
21.099	70.98039	42.25011	31.59664
21.138	70.98039	42.27277	31.69468
21.177	70.98039	42.30239	31.35854
21.215	70.98039	42.30239	31.35854
21.253	70.98039	41.84575	31.2465
21.292	70.98039	42.21525	31.11345
21.332	70.98039	42.07582	31.60364
21.371	70.98039	42.10719	31.47759
21.412	70.98039	41.98693	31.12045
21.451	70.98039	41.96253	31.0014
21.491	70.98039	42.24662	31.91877
21.53	70.98039	42.07233	31.35154
21.568	70.98039	42.01133	31.12745
21.607	70.98039	42.22396	31.58964
21.645	70.98039	42.01656	31.46358
21.685	70.98039	42.35991	31.35854
21.724	70.98039	41.96253	31.2395
21.762	70.98039	42.15773	31.12045
21.801	70.98039	42.30066	31.59664
21.839	70.98039	42.09848	31.22549
21.878	70.98039	41.84401	31.0084
21.916	70.98039	42.0183	31.93978
21.956	70.98039	42.22745	31.60364
21.996	70.98039	42.24662	31.92577
22.034	70.98039	42.30762	31.59664
22.072	70.98039	42.21525	31.57563
22.111	70.98039	42.27103	31.70168
22.15	70.98039	41.99041	30.89636
22.188	70.98039	41.90327	31.47059
22.226	70.98039	41.84401	30.88235
22.265	70.98039	42.07233	31.48459
22.304	70.98039	42.24836	30.88936
22.343	70.98039	42.10545	31.12745
22.382	70.98039	41.87015	31.12045
22.42	70.98039	41.72549	30.88936
22.461	70.98039	41.95904	31.58964
22.499	70.98039	41.86841	31.23249
22.538	70.98039	41.89978	31.12745
22.576	70.98039	41.61394	31.2395
22.616	70.98039	41.64009	30.53922
22.654	70.98039	41.64009	30.53922
22.693	70.98039	42.01133	30.9874
22.732	70.98039	42.13159	31.58964
22.77	70.98039	41.9939	31.36555
22.809	70.98039	41.5268	30.77031
22.848	70.98039	42.01307	31.81373
22.886	70.98039	42.12811	31.70868
22.925	70.98039	42.07233	31.0014
22.966	70.98039	41.78475	30.77031
23.004	70.98039	41.61743	31.2465
23.043	70.98039	41.92593	31.23249
23.082	70.98039	41.89455	31.21849
23.12	70.98039	41.95381	30.9874
23.159	70.98039	41.95381	31.58263
23.197	70.98039	41.6976	30.66527
23.236	70.98039	41.98693	31.0014
23.275	70.98039	41.95904	30.7633
23.314	70.98039	42.10022	31.2395
23.353	70.98039	42.30588	31.70868
23.391	70.98039	41.9329	30.7633
23.43	70.98039	41.96253	31.2395
23.47	70.98039	42.1037	31.2395
23.508	70.98039	41.95381	31.23249
23.547	70.98039	42.18388	31.80672
23.586	70.98039	41.95207	30.87535
23.625	70.98039	41.98344	31.34454
23.663	70.98039	42.01307	31.57563
23.702	70.98039	42.18388	30.88235
23.74	70.98039	42.01656	31.0014
23.778	70.98039	41.90327	31.0014
23.817	70.98039	41.9573	30.53221
23.855	70.98039	42.1647	31.82073
23.895	70.98039	42.1647	31.82073
23.934	70.98039	41.84924	31.12045
23.975	70.98039	41.95381	30.87535
24.013	70.98039	42.10022	31.22549
24.052	70.98039	41.98519	31.34454
24.091	70.98039	42.13159	31.92577
24.13	70.98039	41.78475	30.7633
24.168	70.98039	42.12985	31.68768
24.208	70.98039	41.84227	31.35154
24.246	70.98039	42.07233	31.0084
24.285	70.98039	42.10022	31.23249
24.324	70.98039	42.06885	31.35854
24.363	70.98039	42.1037	31.23249
24.402	70.98039	42.01656	31.12045
24.44	70.98039	41.66449	30.9944
24.481	70.98039	41.75686	30.77031
24.521	70.98039	41.86841	31.34454
24.559	70.98039	41.6732	30.89636
24.597	70.98039	41.93464	31.2535
24.636	70.98039	42.09673	31.57563
24.675	70.98039	42.06885	31.23249
24.713	70.98039	41.78998	31.2465
24.751	70.98039	41.76035	31.0084
24.79	70.98039	41.69412	31.22549
24.829	70.98039	41.86492	30.64426
24.872	70.98039	41.86841	31.11345
24.91	70.98039	42.0427	31.92577
24.948	70.98039	41.6366	30.87535
24.989	70.98039	41.75861	30.77031
25.027	70.98039	41.89107	31.09944
25.065	70.98039	41.93116	31.58964
25.104	70.98039	41.57908	31.22549
25.143	70.98039	41.70109	31.12045
25.181	70.98039	41.64183	30.64426
25.22	70.98039	42.03922	30.7633
25.258	70.98039	41.6122	30.18907
25.296	64.70588	41.61743	31.12745
25.335	70.98039	41.78475	31.35154
